target,prediction,flag,roll_id,row_index
62.63,62.63,input,0,787
62.69,62.69,input,0,788
62.78,62.78,input,0,789
62.89,62.89,input,0,790
62.98,62.98,input,0,791
63.06,63.06,input,0,792
63.16,63.16,input,0,793
63.43,63.43,input,0,794
63.71,63.71,input,0,795
63.89,63.89,input,0,796
64.03,64.03,input,0,797
64.2,64.2,input,0,798
64.35,64.35,input,0,799
64.54,64.54,input,0,800
64.85,64.85,input,0,801
65.22,65.22,input,0,802
65.77,65.77,input,0,803
66.39,66.39,input,0,804
66.92,66.92,input,0,805
67.4,67.4,input,0,806
67.77,67.77,input,0,807
68.1,68.1,input,0,808
68.44,68.44,input,0,809
69.02,69.02,input,0,810
69.64,69.64,input,0,811
70.15,70.15,input,0,812
70.83,70.83,input,0,813
71.61,71.61,input,0,814
72.32,72.32,input,0,815
72.78,72.78,input,0,816
73.4,73.4,input,0,817
74.26,74.26,input,0,818
74.71,74.71,input,0,819
74.91,74.91,input,0,820
74.96,74.96,input,0,821
74.94,74.94,input,0,822
74.93,74.93,input,0,823
74.97,74.97,input,0,824
74.94,74.94,input,0,825
74.87,74.87,input,0,826
74.81,74.81,input,0,827
74.77,74.77,input,0,828
74.73,74.73,input,0,829
74.67,74.67,input,0,830
74.61,74.61,input,0,831
74.59,74.59,input,0,832
74.74,74.74,input,0,833
74.81,74.81,input,0,834
74.79,74.79,input,0,835
74.81,74.81,input,0,836
76.59,76.59,input,0,837
78.27,78.27,input,0,838
78.86,78.86,input,0,839
79.07,79.07,input,0,840
79.09,79.09,input,0,841
79.02,79.02,input,0,842
78.92,78.92,input,0,843
78.79,78.79,input,0,844
78.63,78.63,input,0,845
78.51,78.51,input,0,846
78.42,78.42,input,0,847
78.31,78.31,input,0,848
78.32,78.32,input,0,849
78.38,78.38,input,0,850
78.36,78.36,input,0,851
78.33,78.33,input,0,852
78.29,78.29,input,0,853
78.22,78.22,input,0,854
78.15,78.15,input,0,855
78.07,78.07,input,0,856
77.97,77.97,input,0,857
77.88,77.88,input,0,858
77.79,77.79,input,0,859
77.69,77.69,input,0,860
77.58,77.58,input,0,861
77.46,77.46,input,0,862
77.33,77.33,input,0,863
77.2,77.2,input,0,864
77.07,77.07,input,0,865
77.3,77.3,input,0,866
77.65,77.65,input,0,867
77.76,77.76,input,0,868
77.79,77.79,input,0,869
77.77,77.77,input,0,870
77.69,77.69,input,0,871
77.57,77.57,input,0,872
77.44,77.44,input,0,873
77.31,77.31,input,0,874
77.18,77.18,input,0,875
77.03,77.03,input,0,876
76.87,76.87,input,0,877
76.74,76.74,input,0,878
76.8,76.8,input,0,879
76.87,76.87,input,0,880
76.84,76.84,input,0,881
76.75,76.75,input,0,882
76.59,76.59,input,0,883
76.85,76.85,input,0,884
78.63,78.63,input,0,885
79.14,79.14,input,0,886
79.25,79.25,input,0,887
79.21,79.21,input,0,888
79.11,79.11,input,0,889
78.97,78.97,input,0,890
78.8,78.8,input,0,891
78.61,78.61,input,0,892
78.42,78.42,input,0,893
78.2,78.2,input,0,894
77.99,77.99,input,0,895
77.77,77.77,input,0,896
77.54,77.54,input,0,897
77.31,77.31,input,0,898
77.06,77.06,input,0,899
76.92,76.92,input,0,900
76.75,76.75,input,0,901
76.52,76.52,input,0,902
76.27,76.27,input,0,903
76.02,76.02,input,0,904
75.78,75.78,input,0,905
75.52,75.52,input,0,906
75.25,75.25,input,0,907
74.98,74.98,input,0,908
74.7,74.7,input,0,909
74.41,74.41,input,0,910
74.12,74.12,input,0,911
73.83,73.83,input,0,912
73.54,73.54,input,0,913
73.24,73.24,input,0,914
72.97,72.97,input,0,915
72.82,72.82,input,0,916
72.67,72.67,input,0,917
72.51,72.51,input,0,918
72.34,72.34,input,0,919
72.15,72.15,input,0,920
71.96,71.96,input,0,921
71.76,71.76,input,0,922
71.56,71.56,input,0,923
71.36,71.36,input,0,924
71.15,71.15,input,0,925
70.96,70.96,input,0,926
70.77,70.77,input,0,927
70.58,70.58,input,0,928
70.39,70.39,input,0,929
70.19,70.19,input,0,930
69.98,69.98,input,0,931
69.78,69.78,input,0,932
69.57,69.57,input,0,933
69.36,69.36,input,0,934
69.15,69.15,input,0,935
68.94,68.94,input,0,936
68.71,68.71,input,0,937
68.5,68.5,input,0,938
68.3,68.3,input,0,939
68.11,68.11,input,0,940
67.92,67.92,input,0,941
67.72,67.72,input,0,942
67.52,67.52,input,0,943
67.32,67.32,input,0,944
67.11,67.11,input,0,945
66.91,66.91,input,0,946
66.71,66.71,input,0,947
66.5,66.5,input,0,948
66.29,66.29,input,0,949
66.08,66.08,input,0,950
66.19,66.19,input,0,951
66.52,66.52,input,0,952
66.41,66.41,input,0,953
66.26,66.26,input,0,954
66.09,66.09,input,0,955
65.91,65.91,input,0,956
65.71,65.71,input,0,957
65.52,65.52,input,0,958
65.35,65.35,input,0,959
65.21,65.21,input,0,960
65.05,65.05,input,0,961
64.87,64.87,input,0,962
64.69,64.69,input,0,963
64.52,64.52,input,0,964
64.36,64.36,input,0,965
64.2,64.2,input,0,966
64.04,64.04,input,0,967
63.89,63.89,input,0,968
63.71,63.71,input,0,969
63.53,63.53,input,0,970
63.35,63.35,input,0,971
63.17,63.17,input,0,972
62.92,62.92,input,0,973
62.44,62.44,input,0,974
62.06,62.06,input,0,975
62.05,62.05,input,0,976
62.05,62.05,input,0,977
62.05,62.05,input,0,978
62.05,62.05,input,0,979
62.06,62.06,input,0,980
62.05,62.05,input,0,981
62.04,62.04,input,0,982
62.04,62.04,input,0,983
62.05,62.05,input,0,984
62.06,62.06,input,0,985
62.07,62.07,input,0,986
62.06,62.06,input,0,987
