target,prediction,flag,roll_id,row_index
84.19,64.96002960205078,prediction,28,1521
84.21,64.95628356933594,prediction,28,1522
84.22,64.94660186767578,prediction,28,1523
84.24,64.93394470214844,prediction,28,1524
84.27,64.95494842529297,prediction,28,1525
84.33,64.99230194091797,prediction,28,1526
84.42,64.9936752319336,prediction,28,1527
84.58,65.01329803466797,prediction,28,1528
84.96,65.04112243652344,prediction,28,1529
85.21,64.92359924316406,prediction,29,1530
85.48,64.9254150390625,prediction,29,1531
85.72,64.92521667480469,prediction,29,1532
85.65,64.91779327392578,prediction,29,1533
85.57,64.91192626953125,prediction,29,1534
85.54,64.93525695800781,prediction,29,1535
85.52,64.97534942626953,prediction,29,1536
85.51,64.97833251953125,prediction,29,1537
85.51,65.0020751953125,prediction,29,1538
85.52,65.03414916992188,prediction,29,1539
85.52,64.94564819335938,prediction,30,1540
85.55,64.9478530883789,prediction,30,1541
85.61,64.95045471191406,prediction,30,1542
85.58,64.94557189941406,prediction,30,1543
85.55,64.94557189941406,prediction,30,1544
85.58,64.97027587890625,prediction,30,1545
85.56,65.01215362548828,prediction,30,1546
85.54,65.01519012451172,prediction,30,1547
85.52,65.04258728027344,prediction,30,1548
85.51,65.07740783691406,prediction,30,1549
85.48,65.01126098632812,prediction,31,1550
85.46,65.01286315917969,prediction,31,1551
85.45,65.01725769042969,prediction,31,1552
85.45,65.01483917236328,prediction,31,1553
85.44,65.0191650390625,prediction,31,1554
85.44,65.0442123413086,prediction,31,1555
85.47,65.08679962158203,prediction,31,1556
85.5,65.08856201171875,prediction,31,1557
85.49,65.11878204345703,prediction,31,1558
85.47,65.15469360351562,prediction,31,1559
85.46,65.10208129882812,prediction,32,1560
85.49,65.10231018066406,prediction,32,1561
85.49,65.107421875,prediction,32,1562
85.47,65.10713958740234,prediction,32,1563
85.47,65.11395263671875,prediction,32,1564
85.52,65.13844299316406,prediction,32,1565
85.54,65.18074035644531,prediction,32,1566
85.52,65.18025970458984,prediction,32,1567
85.48,65.21233367919922,prediction,32,1568
85.46,65.24781036376953,prediction,32,1569
85.45,65.19953918457031,prediction,33,1570
85.42,65.19796752929688,prediction,33,1571
85.38,65.20281219482422,prediction,33,1572
85.34,65.2041244506836,prediction,33,1573
85.28,65.21163177490234,prediction,33,1574
